Date,Location,Category,Type,Source,Applied,CL/msg?,Exam,Interview,Status
5/24/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
5/24/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
5/24/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
5/25/2024,,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
5/25/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
5/25/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/2/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/2/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/4/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
6/4/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/4/2024,"On-site State College, PA",Entry,Part-Time,Indeed,TRUE,FALSE,FALSE,TRUE,Accepted
6/5/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/5/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/5/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/5/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/5/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/5/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/5/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/9/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/12/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
6/16/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/20/2024,,Engineering,Full-Time,Company Website,TRUE,FALSE,FALSE,FALSE,Rejected
6/29/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Creative,Part-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
6/29/2024,,Creative,Part-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Data/Web,Internship,Company Website,TRUE,FALSE,FALSE,FALSE,Waiting
6/29/2024,,Engineering,Full-Time,Handshake,TRUE,FALSE,FALSE,FALSE,Rejected
6/29/2024,,Engineering,Full-Time,Company Website,TRUE,FALSE,FALSE,FALSE,Rejected
6/29/2024,,Engineering,Internship,Company Website,TRUE,FALSE,FALSE,FALSE,Rejected
6/30/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
6/30/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/1/2024,,Creative,Full-Time,Indeed,TRUE,FALSE,FALSE,FALSE,Waiting
7/7/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
7/7/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/7/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/7/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/7/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
7/8/2024,,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
7/8/2024,,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
7/8/2024,,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
7/8/2024,,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
7/8/2024,,Creative,Contract,RH/Cella/Upwork,TRUE,FALSE,FALSE,FALSE,Waiting
7/11/2024,,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/11/2024,,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/11/2024,,Engineering,Full-Time,Referral,TRUE,FALSE,FALSE,FALSE,Rejected
7/11/2024,,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
7/15/2024,,Astro,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/6/2024,Remote,Creative,Part-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Creative,Contract,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
8/6/2024,Remote,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/6/2024,Remote,Data/Web,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Rejected
8/6/2024,Remote,Engineering,Full-Time,LinkedIn,TRUE,FALSE,FALSE,FALSE,Waiting
